state,abbreviation,capital,flower,population
Idaho,ID,Boise,Syringa,1839106
New York,NY,Albany,Rose,20201249
Kansas,KS,Topeka,Sunflower,2937880
Tennessee,TN,Nashville,Iris,6910840
Texas,TX,Austin,Bluebonnet,29145505
Montana,MT,Helena,Bitterroot,1084225
Oregon,OR,Salem,Oregon Grape,4237256
Alaska,AK,Juneau,Forget-Me-Not,733391
Indiana,IN,Indianapolis,Peony,6785528
Nebraska,NE,Lincoln,Goldenrod,1961504
Alabama,AL,Montgomery,Camellia,5024279
Delaware,DE,Dover,Peach Blossom,989948
Illinois,IL,Springfield,Violet,12812508
Kentucky,KY,Frankfort,Goldenrod,4505836
Mississippi,MS,Jackson,Magnolia,2961279
Nevada,NV,Carson City,Sagebrush,3104614
Vermont,VT,Montpelier,Red Clover,643077
Utah,UT,Salt Lake City,Sego Lily,3271616
Wisconsin,WI,Madison,Wood Violet,5893718
Georgia,GA,Atlanta,Cherokee Rose,10711908
Louisiana,LA,Baton Rouge,Magnolia,4657757
Massachusetts,MA,Boston,Mayflower,7029917
Rhode Island,RI,Providence,Violet,1097379
Hawaii,HI,Honolulu,Yellow Hibiscus,1455271
Michigan,MI,Lansing,Apple Blossom,10077331
North Carolina,NC,Raleigh,Dogwood,10439388
New Mexico,NM,Santa Fe,Yucca Flower,2117522
Ohio,OH,Columbus,Scarlet Carnation,11799448
Oklahoma,OK,Oklahoma City,Mistletoe,3959353
South Dakota,SD,Pierre,Pasque Flower,886667
Iowa,IA,Des Moines,Wild Prairie Rose,3190369
Wyoming,WY,Cheyenne,Indian Paintbrush,576851
Arkansas,AR,Little Rock,Apple Blossom,3011524
New Hampshire,NH,Concord,Purple Lilac,1377529
Virginia,VA,Richmond,American Dogwood,8631393
California,CA,Sacramento,Golden Poppy,39538223
Florida,FL,Tallahassee,Orange Blossom,21538187
Maryland,MD,Annapolis,Black-Eyed Susan,6177224
Connecticut,CT,Hartford,Mountain Laurel,3605944
New Jersey,NJ,Trenton,Common Blue Violet,9288994
Washington,WA,Olympia,Coast Rhododendron,7705281
West Virginia,WV,Charleston,Rhododendron,1793716
Arizona,AZ,Phoenix,Saguaro Cactus Blossom,7151502
North Dakota,ND,Bismarck,Wild Prairie Rose,779094
Colorado,CO,Denver,Rocky Mountain Columbine,5773714
Maine,ME,Augusta,White Pine Cone and Tassel,1362359
Pennsylvania,PA,Harrisburg,Mountain Laurel,13002700
South Carolina,SC,Columbia,Yellow Jessamine,5118425
Missouri,MO,Jefferson City,White Hawthorn Blossom,6154913
Minnesota,MN,Saint Paul,Pink and White Lady's Slipper,5706494
